Month,vegan
2004-01,12
2004-02,12
2004-03,10
2004-04,10
2004-05,10
2004-06,11
2004-07,11
2004-08,12
2004-09,11
2004-10,13
2004-11,14
2004-12,13
2005-01,12
2005-02,11
2005-03,11
2005-04,10
2005-05,11
2005-06,11
2005-07,12
2005-08,13
2005-09,12
2005-10,11
2005-11,13
2005-12,13
2006-01,12
2006-02,12
2006-03,12
2006-04,11
2006-05,11
2006-06,11
2006-07,13
2006-08,12
2006-09,11
2006-10,12
2006-11,13
2006-12,13
2007-01,12
2007-02,12
2007-03,12
2007-04,12
2007-05,13
2007-06,12
2007-07,12
2007-08,13
2007-09,13
2007-10,13
2007-11,14
2007-12,14
2008-01,14
2008-02,14
2008-03,14
2008-04,13
2008-05,13
2008-06,14
2008-07,14
2008-08,14
2008-09,13
2008-10,13
2008-11,15
2008-12,15
2009-01,14
2009-02,13
2009-03,14
2009-04,14
2009-05,13
2009-06,13
2009-07,14
2009-08,14
2009-09,13
2009-10,14
2009-11,17
2009-12,15
2010-01,16
2010-02,16
2010-03,15
2010-04,15
2010-05,14
2010-06,14
2010-07,15
2010-08,17
2010-09,16
2010-10,16
2010-11,18
2010-12,17
2011-01,18
2011-02,19
2011-03,18
2011-04,20
2011-05,17
2011-06,17
2011-07,17
2011-08,19
2011-09,19
2011-10,20
2011-11,21
2011-12,21
2012-01,23
2012-02,22
2012-03,22
2012-04,22
2012-05,21
2012-06,22
2012-07,23
2012-08,23
2012-09,24
2012-10,22
2012-11,24
2012-12,25
2013-01,27
2013-02,27
2013-03,28
2013-04,26
2013-05,25
2013-06,25
2013-07,26
2013-08,26
2013-09,26
2013-10,26
2013-11,29
2013-12,29
2014-01,31
2014-02,30
2014-03,32
2014-04,31
2014-05,29
2014-06,28
2014-07,30
2014-08,30
2014-09,29
2014-10,29
2014-11,32
2014-12,31
2015-01,33
2015-02,33
2015-03,33
2015-04,32
2015-05,33
2015-06,34
2015-07,34
2015-08,36
2015-09,35
2015-10,39
2015-11,41
2015-12,42
2016-01,45
2016-02,47
2016-03,48
2016-04,49
2016-05,51
2016-06,49
2016-07,48
2016-08,47
2016-09,47
2016-10,49
2016-11,57
2016-12,65
2017-01,54
2017-02,51
2017-03,54
2017-04,54
2017-05,51
2017-06,53
2017-07,73
2017-08,75
2017-09,70
2017-10,69
2017-11,71
2017-12,74
2018-01,79
2018-02,75
2018-03,73
2018-04,71
2018-05,67
2018-06,66
2018-07,67
2018-08,67
2018-09,65
2018-10,67
2018-11,71
2018-12,74
2019-01,79
2019-02,72
2019-03,71
2019-04,73
2019-05,66
2019-06,70
2019-07,69
2019-08,72
2019-09,70
2019-10,78
2019-11,98
2019-12,89
2020-01,100
2020-02,87
2020-03,68
2020-04,74
2020-05,74
2020-06,72
